【76V22】特別支援学校小学部・中学部学習指導要領（平成21年告示：平成27年一部改正）コード表　Ver 2.2,,,
教科等,No,学習指導要領テキスト,学習指導要領コード
総則,40,(5) 各教科等の指導に当たっては， 個々の児童又は生徒の実態を的確に把握し， 個別の指導計画を作成すること。 また， 個別の指導計画に基づいて行われた学習の状況や結果を適切に評価し， 指導の改善に努めること。,7600000241500000
総則,41,(6) 学校がその目的を達成するため， 地域や学校の実態等に応じ， 家庭や地域の人々の協力を得るなど家庭や地域社会との連携を深めること。 また， 学校相互の連携や交流を図ることにも努めること。 特に， 児童又は生徒の経験を広めて積極的な態度を養い， 社会性や豊かな人間性をはぐくむために， 学校の教育活動全体を通じて， 小学校の児童又は中学校の生徒などと交流及び共同学習を計画的， 組織的に行うとともに， 地域の人々などと活動を共にする機会を積極的に設けること。,7600000241600000
総則,42,２  各教科等の指導に当たっては，次の事項に配慮するものとする。,7600000242000001
総則,43,(1) 学校の教育活動全体を通じて， 個に応じた指導を充実するため， 個別の指導計画に基づき指導方法や指導体制の工夫改善に努めること。 その際， 児童又は生徒の障害の状態や学習の進度等を考慮して，個別指導を重視するとともに，授業形態や集団の構成の工夫，それぞれの教師の専門性を生かした協力的な指導などにより， 学習活動が効果的に行われるようにすること。,7600000242100000
総則,44,(2) 複数の種類の障害を併せ有する児童又は生徒（以下「重複障害者」 という。） については，専門的な知識や技能を有する教師間の協力の下に指導を行ったり， 必要に応じて専門の医師及びその他の専門家の指導・助言を求めたりするなどして，学習効果を一層高めるようにすること。,7600000242200000
総則,45,(3) 各教科等の指導に当たっては， 児童又は生徒の思考力， 判断力， 表現力等をはぐくむ観点から，基礎的・基本的な知識及び技能の活用を図る学習活動を重視するとともに，言語に対する関心や理解を深め， 言語に関する能力の育成を図る上で必要な言語環境を整え， 児童又は生徒の言語活動を充実すること。,7600000242300000
総則,46,(4) 各教科等の指導に当たっては， 体験的な学習や基礎的・基本的な知識及び技能を活用した問題解決的な学習を重視するとともに，児童又は生徒の興味・関心を生かし，  自主的，  自発的な学習が促されるよう工夫すること。,7600000242400000
総則,47,(5) 教師と児童生徒の信頼関係及び児童生徒相互の好ましい人間関係を育てるとともに児童生徒理解を深め， 生徒指導の充実を図ること。 また， 中学部においては， 生徒が自らの生き方を考え主体的に進路を選択することができるよ う， 校内の組織体制を整備し， 教師間の相互の連携を図りながら， 学校の教育活動全体を通じ， 計画的， 組織的な進路指導を行うこと。その際， 家庭及び地域や福祉， 労働等の業務を行う関係機関との連携を十分に図ること。,7600000242500000
総則,48,(6) 小学部の各教科等の指導に当たっては， 児童が学習課題や活動を選択したり，  自らの将来について考えたりする機会を設けるなど工夫すること。 また， 中学部においては， 生徒が学校や学級での生活によりよく適応するとともに， 現在及び将来の生き方を考え行動する態度や能力を育成することができるよう， 学校の教育活動全体を通じ， ガイダンスの機能の充実を図ること。,7600000242600000
総則,49,(7) 各教科等の指導に当たっては， 児童又は生徒が学習の見通しを立てたり学習したことを振り返ったりする活動を計画的に取り入れるよう工夫すること。,7600000242700000
総則,50,(8)海外から帰国した児童又は生徒などについては，学校生活への適応を図るとともに，外国における生活経験を生かすなどの適切な指導を行うこと。,7600000242800000
総則,51,(9) 障害のため通学して教育を受けることが困難な児童又は生徒に対して， 教員を派遣して教育を行う場合については， 障害の状態や学習環境等に応じて， 指導方法や指導体制を工夫し，学習活動が効果的に行われるようにすること。,7600000242900000
総則,52,(10) 各教科等の指導に当たっては， 児童又は生徒がコンピュータや情報通信ネットワークなどの情報手段に慣れ親しみ， その基本的な操作や情報モラルを身に付け， 適切かつ主体的， 積極的に活用できるようにするための学習活動を充実するとともに，これらの情報手段に加え，視聴覚教材や教育機器などの教材・教具の適切な活用を図ること。 また， 児童又は生徒の障害の状態や特性等に即した教材・教具を創意工夫するとともに，学習環境を整え，指導の効果を高めるようにすること。,7600000242A00000
総則,53,(11) 学校図書館を計画的に利用しその機能の活用を図り， 児童又は生徒の主体的， 意欲的な学習活動や読書活動を充実すること。,7600000242B00000
総則,54,(12)児童又は生徒のよい点や可能性，進歩の状況などを積極的に評価するとともに，指導の過程や成果を評価し， 指導の改善を行い学習意欲の向上に生かすようにすること。,7600000242C00000
総則,55,(13) 学校医等との連絡を密にし， 児童又は生徒の障害の状態に応じた保健及び安全に十分留意すること。,7600000242D00000
総則,56,(14)家庭及び地域や医療，福祉，保健，労働等の業務を行う関係機関との連携を図り，長期的な視点で児童又は生徒への教育的支援を行うために， 個別の教育支援計画を作成すること。,7600000242E00000
総則,57,(15) 中学部において， 生徒の自主的，  自発的な参加により行われる部活動については， スポーツや文化及び科学等に親しませ， 学習意欲の向上や責任感， 連帯感の涵養等に資するものであり， 学校教育の一環として， 教育課程との関連が図られるよう留意すること。 その際， 地域や学校の実態に応じ， 地域の人々の協力， 社会教育施設や社会教育関係団体等の各種団体との連携などの運営上の工夫を行うようにすること。,7600000242F00000
総則,58,(16)小学校又は中学校等の要請により，障害のある児童，生徒又は当該児童若しくは生徒の教育を担当する教師等に対して必要な助言又は援助を行ったり， 地域の実態や家庭の要請等により保護者等に対して教育相談を行ったりするなど， 各学校の教師の専門性や施設・設備を生かした地域における特別支援教育のセンターとしての役割を果たすよう努めること。 その際，学校として組織的に取り組むことができるよう校内体制を整備するとともに，他の特別支援学校や地域の小学校又は中学校等との連携を図ること。,7600000242G00000
総則,59,３  道徳教育を進めるに当たっては，次の事項に配慮するものとする。,7600000243000001
総則,60,(1) 各学校においては，第１の２に示す道徳教育の目標を踏まえ，道徳教育の全体計画を作成し，校長の方針の下に，道徳教育の推進を主に担当する教師（以下「道徳教育推進教師」という。）を中心に，全教師が協力して道徳教育を展開すること。なお，道徳教育の全体計画の作成に当たっては，児童又は生徒，学校及び地域の実態を考慮して，学校の道徳教育の重点目標を設定するとともに，道徳科の指導方針，第３章において準ずるものとしている小学校学習指導要領第３章第２に示す内容又は中学校学習指導要領第３章第２に示す内容との関連を踏まえた各教科，外国語活動，総合的な学習の時間，特別活動及び自立活動における指導の内容及び時期並びに家庭や地域社会との連携の方法を示すこと。,7600000243100001
総則,61,(2) 小学部においては，児童の障害の状態及び発達の段階や特性等を踏まえ，指導内容の重点化を図ること。その際，各学年を通じて，自立心や自律性，生命を尊重する心や他者を思いやる心を育てることに留意すること。また，各学年段階においては，次の事項に留意すること。,7600000243200001
総則,62,ア  第１学年及び第２学年においては，挨拶などの基本的な生活習慣を身に付けること，善悪を判断し，してはならないことをしないこと，社会生活上のきまりを守ること。,7600000243210001
総則,63,イ  第３学年及び第４学年においては，善悪を判断し，正しいと判断したことを行うこと，身近な人々と協力し助け合うこと，集団や社会のきまりを守ること。,7600000243220001
総則,64,ウ  第５学年及び第６学年においては，相手の考え方や立場を理解して支え合うこと，法やきまりの意義を理解して進んで守ること，集団生活の充実に努めること，伝統と文化を尊重し，それらを育んできた我が国と郷土を愛するとともに，他国を尊重すること。,7600000243230001
総則,65,"(3) 小学部においては，学校や学級内の人間関係や環境を整えるとともに，集団宿泊活動やボランティア活動，自然体験活動，地域の行事への参加などの豊かな体験を充実すること。また，道徳教育の指導内容が，児童の日常生活に生かされるようにすること。その際，いじめの防止や安全の確保
等にも資することとなるよう留意すること。",7600000243300001
総則,66,"(4) 中学部においては，生徒の障害の状態及び発達の段階や特性等を踏まえ，指導内容の重点化を図ること。その際，小学部における道徳教育の指導内
容を更に発展させ，自立心や自律性を高め，規律ある生活をすること，生
命を尊重する心や自らの弱さを克服して気高く生きようとする心を育てること，法やきまりの意義に関する理解を深めること，自らの将来の生き方を考え主体的に社会の形成に参画する意欲と態度を養うこと，伝統と文化を尊重し，それらを育んできた我が国と郷土を愛するとともに，他国を尊重すること，国際社会に生きる日本人としての自覚を身に付けることに留意すること。",7600000243400001
総則,67,"(5) 中学部においては，学校や学級内の人間関係や環境を整えるとともに，職場体験活動やボランティア活動，自然体験活動，地域の行事への参加などの豊かな体験を充実すること。また，道徳教育の指導内容が，生徒の日常生活に生かされるようにすること。その際，いじめの防止や安全の確保
等にも資することとなるよう留意すること。",7600000243500001
総則,68,(6) 学校の道徳教育の全体計画や道徳教育に関する諸活動などの情報を積極的に公表したり，道徳教育の充実のために家庭や地域の人々の積極的な参加や協力を得たりするなど，家庭や地域社会との共通理解を深め，相互の連携を図ること。,7600000243600001
総則,69,第５   重複障害者等に関する教育課程の取扱い,7600000250000000
総則,70,１   児童又は生徒の障害の状態により特に必要がある場合には， 次に示すところによるものとする。,7600000251000000
総則,71,(1) 各教科及び外国語活動の目標及び内容に関する事項の一部を取り扱わないことができること。,7600000251100000
総則,72,(2) 各教科及び道徳科の各学年の目標及び内容の全部又は一部を，当該学年の前各学年の目標及び内容の全部又は一部によって，替えることができること。,7600000251200001
総則,73,(3) 中学部の各教科及び道徳科の目標及び内容に関する事項の全部又は一部を，当該各教科及び道徳科に相当する小学部の各教科及び道徳科の目標及び内容に関する事項の全部又は一部によって，替えることができること。,7600000251300001
総則,74,(4) 視覚障害者， 聴覚障害者， 肢体不自由者又は病弱者である生徒に対する教育を行う特別支援学校の中学部の外国語科については， 外国語活動の目標及び内容の一部を取り入れることができること。,7600000251400000
総則,75,(5) 幼稚部教育要領に示す各領域のねらい及び内容の一部を取り入れることができること。,7600000251500000
