【7BV11】特別支援学校高等部学習指導要領（平成21年告示）コード表　Ver 1.1,,,
教科等,No,学習指導要領テキスト,学習指導要領コード
総則,68,５   各学年における自立活動の時間に充てる授業時数は， 生徒の障害の状態に応じて， 適切に定めるものとする。,7C00000223500000
総則,69,６   各教科・科目，総合的な学習の時間，特別活動及び自立活動（以下「各教科・科目等」 という。） のそれぞれの授業の１単位時間は， 各学校において， 各教科・科目等の授業時数を確保しつつ， 生徒の実態及び各教科・科目等の特質を考慮して適切に定めるものとする。 なお， 10 分間程度の短い時間を単位として特定の各教科・科目の指導を行う場合において， 当該各教科・科目を担当する教師がその指導内容の決定や指導の成果の把握と活用等を責任をもって行う体制が整備されているときは，その時間を当該各教科・科目の授業時数に含めることができる。,7C00000223600000
総則,70,７   総合的な学習の時間における学習活動により，特別活動の学校行事に掲げる各行事の実施と同様の成果が期待できる場合においては， 総合的な学習の時間における学習活動をもって相当する特別活動の学校行事に掲げる各行事の実施に替えることができる。,7C00000223700000
総則,71,第３款　知的障害者である生徒に対する教育を行う特別支援学校における各教科等の履修等,7G00000230000000
総則,72,第１   各教科等の履修,7G00000231000000
総則,73,"１   卒業までに履修させる各教科等
各学校においては，卒業までに履修させる下記２から４までに示す各教科及びその授業時数，道徳及び総合的な学習の時間の授業時数， 特別活動及びその授業時数並びに自立活動の授業時数に関する事項を定めるものとする。",7G00000231100000
総則,74,２   各学科に共通する各教科等,7G00000231200000
総則,75,(1)国語，社会，数学，理科，音楽，美術，保健体育，職業及び家庭の各教科，道徳，総合的な学習の時間， 特別活動並びに自立活動については， 特に示す場合を除き， すべての生徒に履修させるものとする。,7G00000231210000
総則,76,(2) 外国語及び情報の各教科については， 学校や生徒の実態を考慮し， 必要に応じて設けることができる。,7G00000231220000
総則,77,３   主として専門学科において開設される各教科,7G00000231300000
総則,78,(1)専門学科においては，上記２のほか，家政，農業，工業，流通・サービス若しくは福祉の各教科又は下記４に規定する学校設定教科のうち専門教育に関するもの （以下「専門教科」という。） のうち， いずれか１以上履修させるものとする。,7G00000231310000
総則,79,(2) 専門教科の履修によって， 上記２の(1)のすべての生徒に履修させる各教科の履修と同様の成果が期待できる場合においては， その専門教科の履修をもって， すべての生徒に履修させる各教科の履修に替えることができる。,7G00000231320000
総則,80,"４   学校設定教科
学校においては，地域，学校及び生徒の実態，学科の特色等に応じ，特色ある教育課程の編成に資するよう， 第２章第２節第１款及び第２款に掲げる教科以外の教科 （以下この項において「学校設定教科」 という。）を設けることができる。 この場合において，学校設定教科の名称， 目標， 内容等については， 高等部における教育の目標及びその水準の維持等に十分配慮し，各学校の定めるところによるものとする。",7G00000231400000
総則,81,第２   各教科， 道徳， 総合的な学習の時間， 特別活動及び自立活動の授業時数等,7G00000232000000
総則,82,"１   各教科，道徳，総合的な学習の時間，特別活動及び自立活動（以下「各教科等」 という。ただし，  この項及び８において， 特別活動についてはホームルーム活動に限る。） の総授業時数は， 各学年とも1,050単位時間 （１単位時間は， 50分として計算するものとする。  ３において同じ。）を標準とし，特に必要がある場合には，  これを増加することができる。 この場合，各教科等の目標及び内容を考慮し， 各教科及び総合的な学習の時間の配当学年及び当該学年における授業時数， 道徳， 特別活動及び自立活動の各学年における授業時数を適切に定めるものとする。",7G00000232100000
総則,83,２   各教科，道徳，ホームルーム活動及び自立活動の授業は，年間35週行うことを標準とし，必要がある場合には， 各教科， 道徳及び自立活動の授業を特定の学期又は特定の期間 （夏季， 冬季， 学年末等の休業日の期間に授業日を設定する場合を含む。） に行う ことができる。,7G00000232200000
